sp_code, sp_name
RUDU,Ruddy Duck
RUTU,Ruddy Turnstone
RUGR,Ruffed Grouse
RUHU,Rufous Hummingbird
RUBL,Rusty Blackbird
SAGU,Sabine\'s Gull
SATH,Sage Thrasher
SAND,Sanderling
SACR,Sandhill Crane
SAVS,Savannah Sparrow
SAPH,Say\'s Phoebe
SCTA,Scarlet Tanager
SEWR,Sedge Wren
SEPL,Semipalmated Plover
SESA,Semipalmated Sandpiper
SSHA,Sharp-shinned Hawk
STGR,Sharp-tailed Grouse
SBDO,Short-billed Dowitcher
SEOW,Short-eared Owl
SKLA,Sky Lark
SMLO,Smith\'s Longspur
SNBU,Snow Bunting
SNGO,Snow Goose
SNOW,Snowy Owl
SOSA,Solitary Sandpiper
SOSP,Song Sparrow
SORA,Sora
SPOW,Spotted Owl
SPSA,Spotted Sandpiper
SPTO,Spotted Towhee
SPPI,Sprague\'s Pipit
SPGR,Spruce Grouse
STJA,Steller\'s Jay
STSA,Stilt Sandpiper
SUSC,Surf Scoter
SURF,Surfbird
SWHA,Swainson\'s Hawk
SWTH,Swainson\'s Thrush
SWSP,Swamp Sparrow
TEWA,Tennessee Warbler
THGU,Thayer\'s Gull
TBMU,Thick-billed Murre
TTWO,Three-toed Woodpecker
TOSO,Townsend\'s Solitaire
TOWA,Townsend\'s Warbler
TRSW,Tree Swallow
TRUS,Trumpeter Swan
TUPU,Tufted Puffin
TUTI,Tufted Titmouse
TUSW,Tundra Swan
TUVU,Turkey Vulture
UPSA,Upland Sandpiper
VATH,Varied Thrush
VASW,Vaux\'s Swift
VEER,Veery
VESP,Vesper Sparrow
VGSW,Violet-green Swallow
VIRA,Virginia Rail
WATA,Wandering Tattler
WAVI,Warbling Vireo
WEBL,Western Bluebird
WEGR,Western Grebe
WEGU,Western Gull
WEKI,Western Kingbird
WEME,Western Meadowlark
WSOW,Western Screech-Owl
WETA,Western Tanager
WWPE,Western Wood-Pewee
WHIM,Whimbrel
WPWI,Whip-poor-will
WBNU,White-breasted Nuthatch
WCSP,White-crowned Sparrow
WEVI,White-eyed Vireo
WHWO,White-headed Woodpecker
WRSA,White-rumped Sandpiper
WTPT,White-tailed Ptarmigan
WTSP,White-throated Sparrow
WTSW,White-throated Swift
WWCR,White-winged Crossbill
WWSC,White-winged Scoter
WHCR,Whooping Crane
WITU,Wild Turkey
WILL,Willet
WISA,Williamson\'s Sapsucker
WIFL,Willow Flycatcher
WIPT,Willow Ptarmigan
WIPH,Wilson\'s Phalarope
WISN,Wilson\'s Snipe
WIWA,Wilson\'s Warbler
WIWR,Winter/Pacific Wren
WODU,Wood Duck
WOSA,Wood Sandpiper
WOTH,Wood Thrush
WEWA,Worm-eating Warbler
XAMU,Xantus\'s Murrelet
YERA,Yellow Rail
YWAG,Yellow Wagtail
YEWA,Yellow Warbler
YBFL,Yellow-bellied Flycatcher
YBSA,Yellow-bellied Sapsucker
YBCU,Yellow-billed Cuckoo
YBLO,Yellow-billed Loon
YBCH,Yellow-breasted Chat
YHBL,Yellow-headed Blackbird
YRWA,Yellow-rumped Warbler
YTVI,Yellow-throated Vireo
